date,open,high,low,close,adj close,volume,dividends,stock splits
2020-08-14 00:00:00-04:00,15.199999809265137,15.569999694824219,15.149999618530273,15.390000343322754,14.221592903137207,3100,0.0,0.0
2020-08-17 00:00:00-04:00,16.850000381469727,16.850000381469727,15.430000305175781,16.170000076293945,14.942374229431152,4800,0.0,0.0
2020-08-18 00:00:00-04:00,16.170000076293945,16.170000076293945,16.170000076293945,16.170000076293945,14.942374229431152,0,0.0,0.0
2020-08-19 00:00:00-04:00,15.0600004196167,15.529999732971191,15.0600004196167,15.529999732971191,14.35096263885498,700,0.0,0.0
2020-08-20 00:00:00-04:00,16.0,16.170000076293945,15.960000038146973,16.170000076293945,14.942374229431152,2000,0.0,0.0
2020-08-21 00:00:00-04:00,16.450000762939453,16.450000762939453,16.389999389648438,16.389999389648438,15.145670890808105,1100,0.0,0.0
2020-08-24 00:00:00-04:00,16.479999542236328,16.549999237060547,16.479999542236328,16.549999237060547,15.293521881103516,500,0.0,0.0
2020-08-25 00:00:00-04:00,16.450000762939453,16.610000610351562,16.450000762939453,16.610000610351562,15.348969459533691,900,0.0,0.0
2020-08-26 00:00:00-04:00,16.530000686645508,16.739999771118164,16.530000686645508,16.559999465942383,15.302763938903809,600,0.0,0.0
2020-08-27 00:00:00-04:00,16.549999237060547,16.549999237060547,16.530000686645508,16.530000686645508,15.275042533874512,400,0.0,0.0
2020-08-28 00:00:00-04:00,16.81999969482422,17.469999313354492,16.719999313354492,16.719999313354492,15.450618743896484,17500,0.0,0.0
2020-08-31 00:00:00-04:00,16.959999084472656,17.09000015258789,16.75,17.09000015258789,15.79252815246582,4500,0.0,0.0
2020-09-01 00:00:00-04:00,17.09000015258789,17.09000015258789,16.760000228881836,16.760000228881836,15.487580299377441,400,0.0,0.0
2020-09-02 00:00:00-04:00,16.25,17.0,16.25,16.920000076293945,15.635435104370117,2400,0.0,0.0
2020-09-03 00:00:00-04:00,17.139999389648438,17.75,16.649999618530273,16.649999618530273,15.385931968688965,14200,0.0,0.0
2020-09-04 00:00:00-04:00,16.520000457763672,16.520000457763672,16.290000915527344,16.290000915527344,15.053264617919922,1700,0.0,0.0
2020-09-08 00:00:00-04:00,16.5,16.5,16.25,16.25,15.016300201416016,700,0.0,0.0
2020-09-09 00:00:00-04:00,16.399999618530273,16.649999618530273,16.200000762939453,16.3700008392334,15.127189636230469,11700,0.0,0.0
2020-09-10 00:00:00-04:00,17.170000076293945,17.170000076293945,16.520000457763672,16.540000915527344,15.284284591674805,5400,0.0,0.0
2020-09-11 00:00:00-04:00,16.780000686645508,17.079999923706055,16.780000686645508,17.079999923706055,15.783285140991211,2100,0.0,0.0
2020-09-14 00:00:00-04:00,17.059999465942383,17.059999465942383,16.559999465942383,16.889999389648438,15.607710838317871,2600,0.0,0.0
2020-09-15 00:00:00-04:00,16.889999389648438,16.889999389648438,16.889999389648438,16.889999389648438,15.607710838317871,0,0.0,0.0
2020-09-16 00:00:00-04:00,17.040000915527344,17.040000915527344,16.489999771118164,16.489999771118164,15.238080024719238,1300,0.0,0.0
2020-09-17 00:00:00-04:00,16.719999313354492,17.040000915527344,16.719999313354492,16.989999771118164,15.700118064880371,1100,0.0,0.0
2020-09-18 00:00:00-04:00,16.649999618530273,17.329999923706055,16.190000534057617,16.190000534057617,14.960856437683105,6700,0.0,0.0
2020-09-21 00:00:00-04:00,16.229999542236328,17.809999465942383,16.209999084472656,17.809999465942383,16.45786476135254,1300,0.0,0.0
2020-09-22 00:00:00-04:00,17.8700008392334,17.8700008392334,16.06999969482422,16.459999084472656,15.210354804992676,3300,0.0,0.0
2020-09-23 00:00:00-04:00,16.389999389648438,16.389999389648438,16.020000457763672,16.18000030517578,14.951614379882812,1700,0.0,0.0
2020-09-24 00:00:00-04:00,16.229999542236328,16.229999542236328,16.1200008392334,16.1200008392334,14.896169662475586,600,0.0,0.0
2020-09-25 00:00:00-04:00,16.139999389648438,16.139999389648438,16.139999389648438,16.139999389648438,14.914649963378906,500,0.0,0.0
2020-09-28 00:00:00-04:00,16.149999618530273,16.399999618530273,16.149999618530273,16.399999618530273,15.154912948608398,1800,0.0,0.0
2020-09-29 00:00:00-04:00,16.399999618530273,16.399999618530273,16.399999618530273,16.399999618530273,15.154912948608398,0,0.0,0.0
2020-09-30 00:00:00-04:00,17.84000015258789,17.84000015258789,17.84000015258789,17.84000015258789,16.48558807373047,100,0.0,0.0
2020-10-01 00:00:00-04:00,17.84000015258789,17.84000015258789,17.84000015258789,17.84000015258789,16.48558807373047,800,0.0,0.0
2020-10-02 00:00:00-04:00,17.84000015258789,17.84000015258789,17.84000015258789,17.84000015258789,16.48558807373047,0,0.0,0.0
2020-10-05 00:00:00-04:00,17.84000015258789,17.84000015258789,17.84000015258789,17.84000015258789,16.48558807373047,0,0.0,0.0
2020-10-06 00:00:00-04:00,17.639999389648438,17.639999389648438,17.389999389648438,17.389999389648438,16.069751739501953,1300,0.0,0.0
2020-10-07 00:00:00-04:00,17.389999389648438,17.389999389648438,17.389999389648438,17.389999389648438,16.069751739501953,0,0.0,0.0
2020-10-08 00:00:00-04:00,16.549999237060547,17.229999542236328,16.549999237060547,17.229999542236328,15.921897888183594,300,0.0,0.0
2020-10-09 00:00:00-04:00,17.229999542236328,17.229999542236328,17.229999542236328,17.229999542236328,15.921897888183594,0,0.0,0.0
2020-10-12 00:00:00-04:00,16.520000457763672,16.520000457763672,16.520000457763672,16.520000457763672,15.265801429748535,400,0.0,0.0
2020-10-13 00:00:00-04:00,16.520000457763672,16.520000457763672,16.520000457763672,16.520000457763672,15.265801429748535,0,0.0,0.0
2020-10-14 00:00:00-04:00,16.950000762939453,16.950000762939453,16.520000457763672,16.520000457763672,15.265801429748535,1000,0.0,0.0
2020-10-15 00:00:00-04:00,16.799999237060547,16.799999237060547,16.520000457763672,16.65999984741211,15.395173072814941,1900,0.0,0.0
2020-10-16 00:00:00-04:00,16.860000610351562,16.860000610351562,16.860000610351562,16.860000610351562,15.57999038696289,100,0.0,0.0
2020-10-19 00:00:00-04:00,17.43000030517578,17.43000030517578,17.43000030517578,17.43000030517578,16.106714248657227,100,0.0,0.0
2020-10-20 00:00:00-04:00,17.0,17.0,17.0,17.0,15.709359169006348,500,0.0,0.0
2020-10-21 00:00:00-04:00,16.700000762939453,16.700000762939453,16.700000762939453,16.700000762939453,15.432137489318848,100,0.0,0.0
2020-10-22 00:00:00-04:00,17.510000228881836,17.510000228881836,16.6299991607666,16.6299991607666,15.367450714111328,700,0.0,0.0
2020-10-23 00:00:00-04:00,16.6299991607666,16.6299991607666,16.6299991607666,16.6299991607666,15.367450714111328,0,0.0,0.0
2020-10-26 00:00:00-04:00,16.520000457763672,16.709999084472656,16.5,16.610000610351562,15.348969459533691,2600,0.0,0.0
2020-10-27 00:00:00-04:00,16.610000610351562,16.610000610351562,16.610000610351562,16.610000610351562,15.348969459533691,0,0.0,0.0
2020-10-28 00:00:00-04:00,16.579999923706055,16.579999923706055,16.579999923706055,16.579999923706055,15.321246147155762,400,0.0,0.0
2020-10-29 00:00:00-04:00,16.579999923706055,16.579999923706055,16.579999923706055,16.579999923706055,15.321246147155762,0,0.0,0.0
2020-10-30 00:00:00-04:00,16.760000228881836,16.760000228881836,16.760000228881836,16.760000228881836,15.487580299377441,400,0.0,0.0
2020-11-02 00:00:00-05:00,16.760000228881836,16.760000228881836,16.760000228881836,16.760000228881836,15.487580299377441,0,0.0,0.0
2020-11-03 00:00:00-05:00,16.760000228881836,16.760000228881836,16.760000228881836,16.760000228881836,15.487580299377441,0,0.0,0.0
2020-11-04 00:00:00-05:00,16.760000228881836,16.760000228881836,16.760000228881836,16.760000228881836,15.487580299377441,0,0.0,0.0
2020-11-05 00:00:00-05:00,16.719999313354492,16.770000457763672,16.68000030517578,16.719999313354492,15.450618743896484,1000,0.0,0.0
2020-11-06 00:00:00-05:00,16.649999618530273,17.219999313354492,16.600000381469727,17.200000762939453,15.89417552947998,2400,0.0,0.0
2020-11-09 00:00:00-05:00,17.200000762939453,17.450000762939453,17.0,17.31999969482422,16.005064010620117,5800,0.0,0.0
2020-11-10 00:00:00-05:00,17.290000915527344,17.290000915527344,17.0,17.0,15.709359169006348,600,0.0,0.0
2020-11-11 00:00:00-05:00,17.0,17.0,16.719999313354492,16.989999771118164,15.700118064880371,1900,0.0,0.0
2020-11-12 00:00:00-05:00,17.0,17.0,17.0,17.0,15.709359169006348,200,0.0,0.0
2020-11-13 00:00:00-05:00,17.0,17.0,17.0,17.0,15.709359169006348,0,0.0,0.0
2020-11-16 00:00:00-05:00,17.200000762939453,17.200000762939453,17.200000762939453,17.200000762939453,15.89417552947998,400,0.0,0.0
2020-11-17 00:00:00-05:00,17.079999923706055,17.440000534057617,17.079999923706055,17.440000534057617,16.115955352783203,500,0.0,0.0
2020-11-18 00:00:00-05:00,17.15999984741211,17.15999984741211,17.15999984741211,17.15999984741211,15.857213973999023,300,0.0,0.0
2020-11-19 00:00:00-05:00,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,15.570748329162598,200,0.0,0.0
2020-11-20 00:00:00-05:00,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,15.570748329162598,0,0.0,0.0
2020-11-23 00:00:00-05:00,16.850000381469727,16.850000381469727,16.850000381469727,16.850000381469727,15.570748329162598,0,0.0,0.0
2020-11-24 00:00:00-05:00,16.739999771118164,16.739999771118164,16.739999771118164,16.739999771118164,15.469097137451172,200,0.0,0.0
2020-11-25 00:00:00-05:00,17.270000457763672,17.270000457763672,16.75,16.75,15.478339195251465,300,0.0,0.0
2020-11-27 00:00:00-05:00,17.110000610351562,17.110000610351562,17.110000610351562,17.110000610351562,15.811010360717773,300,0.0,0.0
2020-11-30 00:00:00-05:00,17.350000381469727,17.350000381469727,16.75,16.75,15.478339195251465,900,0.0,0.0
2020-12-01 00:00:00-05:00,16.549999237060547,17.389999389648438,16.549999237060547,16.6200008392334,15.358210563659668,600,0.0,0.0
2020-12-02 00:00:00-05:00,17.65999984741211,17.950000762939453,17.65999984741211,17.950000762939453,16.587236404418945,3400,0.0,0.0
2020-12-03 00:00:00-05:00,18.0,18.110000610351562,17.959999084472656,18.110000610351562,16.735090255737305,2700,0.0,0.0
2020-12-04 00:00:00-05:00,17.440000534057617,17.440000534057617,17.440000534057617,17.440000534057617,16.115955352783203,100,0.0,0.0
2020-12-07 00:00:00-05:00,17.399999618530273,17.59000015258789,17.399999618530273,17.59000015258789,16.25457000732422,600,0.0,0.0
2020-12-08 00:00:00-05:00,18.350000381469727,18.75,18.350000381469727,18.75,17.326499938964844,2000,0.0,0.0
2020-12-09 00:00:00-05:00,19.850000381469727,19.850000381469727,19.0,19.0,17.557519912719727,1300,0.0,0.0
2020-12-10 00:00:00-05:00,19.0,19.0,19.0,19.0,17.557519912719727,700,0.0,0.0
2020-12-11 00:00:00-05:00,19.139999389648438,19.139999389648438,19.139999389648438,19.139999389648438,17.686891555786133,300,0.0,0.0
2020-12-14 00:00:00-05:00,20.530000686645508,20.950000762939453,20.399999618530273,20.40999984741211,18.860471725463867,2400,0.0,0.0
