symbol,start_date,end_date,total_days
PTCIL,2023-06-09,2025-12-26,631
PVRINOX,2022-11-10,2025-12-26,755
RADICO,2003-06-18,2025-12-26,5584
RAILTEL,2021-02-26,2025-12-26,1195
RAINBOW,2022-05-10,2025-12-26,900
RAMCOCEM,2002-07-01,2025-12-26,5833
RBLBANK,2016-08-31,2025-12-26,2304
RCF,2002-07-01,2025-12-26,5833
RECLTD,2008-03-12,2025-12-26,4386
REDINGTON,2007-02-15,2025-12-26,4654
RELIANCE,1996-01-01,2025-12-26,7528
RELINFRA,1996-01-01,2025-12-24,7530
RHIM,2012-03-12,2025-12-26,3404
RITES,2018-07-03,2025-12-26,1849
RKFORGE,2004-05-05,2025-12-26,5353
RPOWER,2008-02-11,2025-12-26,4407
RRKABEL,2023-09-15,2025-12-26,557
RVNL,2019-04-11,2025-12-26,1660
SAGILITY,2024-11-12,2025-12-26,280
SAIL,1996-01-01,2025-12-26,7531
SAILIFE,2024-12-18,2025-12-26,256
SAMMAANCAP,2013-07-23,2025-12-26,3066
SAPPHIRE,2021-11-18,2025-12-26,1016
SARDAEN,2009-12-03,2025-12-26,3967
SAREGAMA,2002-07-01,2025-12-26,5833
SBFC,2023-08-16,2025-12-26,580
SBICARD,2020-03-16,2025-12-26,1434
SBILIFE,2017-10-03,2025-12-26,2036
SBIN,1996-01-01,2025-12-26,7529
SCHAEFFLER,2002-07-01,2025-12-26,5833
SCHNEIDER,2012-03-20,2025-12-26,3398
SCI,2002-07-01,2025-12-26,5833
SHREECEM,2001-07-02,2025-12-26,6092
SHRIRAMFIN,2002-07-01,2025-12-26,5836
SHYAMMETL,2021-06-24,2025-12-26,1116
SIEMENS,1999-01-04,2025-12-26,6746
SIGNATURE,2023-09-27,2025-12-26,555
SJVN,2010-05-20,2025-12-26,3855
SKFINDIA,2002-08-12,2025-12-26,5803
SOBHA,2006-12-20,2025-12-26,4690
SOLARINDS,2006-04-03,2025-12-26,4870
SONACOMS,2021-06-24,2025-12-26,1117
SONATSOFTW,2002-07-01,2025-12-26,5833
SRF,2002-07-01,2025-12-26,5832
STARHEALTH,2021-12-10,2025-12-26,1001
SUMICHEM,2020-01-27,2025-12-26,1467
SUNDARMFIN,2002-07-01,2025-12-26,5833
SUNDRMFAST,2002-07-01,2025-12-26,5834
SUNPHARMA,1996-01-01,2025-12-26,7531
SUNTV,2006-04-24,2025-12-26,4858
SUPREMEIND,2002-07-01,2025-12-26,5833
SUZLON,2005-10-19,2025-12-26,4981
SWANCORP,2012-05-29,2025-12-26,3351
SWIGGY,2024-11-13,2025-12-26,279
SYNGENE,2015-08-11,2025-12-26,2563
SYRMA,2022-08-26,2025-12-26,825
TARIL,2013-06-06,2025-12-26,3096
TATACHEM,1996-01-01,2025-12-26,7531
TATACOMM,2002-07-01,2025-12-26,5832
TATACONSUM,1996-01-01,2025-12-26,7528
TATAELXSI,2002-07-01,2025-12-26,5833
TATAINVEST,1996-01-01,2025-12-26,7531
TATAPOWER,1996-01-01,2025-12-26,7528
TATASTEEL,1996-01-01,2025-12-26,7531
TATATECH,2023-11-30,2025-12-26,509
TBOTEK,2024-05-15,2025-12-26,403
TCS,2002-08-12,2025-12-26,5804
